void Simulation::allocateMemory(): 0.0000033800s
void Simulation::initialize(DataSupplier *supplier): 0.0001256120s
void Simulation::pairDistribution(double *histogram, int size, double coef): 0.0004536580s
double Simulation::Ekin(): 0.0000463100s
double Simulation::minDistance(int idx): 0.0000006900s
double Simulation::minDistance(int idx): 0.0000009600s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000005400s
double Simulation::minDistance(int idx): 0.0000225200s
double Simulation::minDistance(int idx): 0.0000593610s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000620410s
double Simulation::minDistance(int idx): 0.0000386210s
double Simulation::minDistance(int idx): 0.0000122000s
double Simulation::minDistance(int idx): 0.0000369700s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000191100s
double Simulation::minDistance(int idx): 0.0000421710s
double Simulation::minDistance(int idx): 0.0000008600s
double Simulation::minDistance(int idx): 0.0000620360s
double Simulation::minDistance(int idx): 0.0000738710s
double Simulation::minDistance(int idx): 0.0000432610s
double Simulation::minDistance(int idx): 0.0000148900s
double Simulation::minDistance(int idx): 0.0000006700s
double Simulation::minDistance(int idx): 0.0000588310s
double Simulation::minDistance(int idx): 0.0000385500s
double Simulation::minDistance(int idx): 0.0000130800s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000584110s
double Simulation::minDistance(int idx): 0.0000386500s
double Simulation::minDistance(int idx): 0.0000131400s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000580210s
double Simulation::minDistance(int idx): 0.0000384510s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000129310s
double Simulation::minDistance(int idx): 0.0000436810s
double Simulation::minDistance(int idx): 0.0000685410s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000133300s
double Simulation::minDistance(int idx): 0.0000512410s
double Simulation::minDistance(int idx): 0.0000434710s
double Simulation::minDistance(int idx): 0.0000145300s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000585410s
double Simulation::minDistance(int idx): 0.0000387510s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000131900s
double Simulation::minDistance(int idx): 0.0000431500s
double Simulation::minDistance(int idx): 0.0000683310s
double Simulation::minDistance(int idx): 0.0000132000s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000104300s
double Simulation::minDistance(int idx): 0.0000108200s
double Simulation::minDistance(int idx): 0.0000153500s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000374710s
double Simulation::minDistance(int idx): 0.0000687810s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000080200s
double Simulation::minDistance(int idx): 0.0000518610s
double Simulation::minDistance(int idx): 0.0000447610s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000143610s
double Simulation::minDistance(int idx): 0.0000416310s
double Simulation::minDistance(int idx): 0.0000687010s
double Simulation::minDistance(int idx): 0.0000006700s
double Simulation::minDistance(int idx): 0.0000131200s
double Simulation::minDistance(int idx): 0.0000519710s
double Simulation::minDistance(int idx): 0.0000444010s
double Simulation::minDistance(int idx): 0.0000168810s
double Simulation::minDistance(int idx): 0.0000007200s
double Simulation::minDistance(int idx): 0.0000656410s
double Simulation::minDistance(int idx): 0.0000443800s
double Simulation::minDistance(int idx): 0.0000130100s
double Simulation::minDistance(int idx): 0.0000005800s
double Simulation::minDistance(int idx): 0.0000416010s
double Simulation::minDistance(int idx): 0.0000161010s
double Simulation::minDistance(int idx): 0.0000006800s
double Simulation::minDistance(int idx): 0.0000695410s
double Simulation::minDistance(int idx): 0.0000608510s
double Simulation::minDistance(int idx): 0.0000142200s
double Simulation::minDistance(int idx): 0.0000374010s
double Simulation::minDistance(int idx): 0.0000006700s
double Simulation::minDistance(int idx): 0.0000570910s
double Simulation::minDistance(int idx): 0.0000124300s
double Simulation::minDistance(int idx): 0.0000005900s
double Simulation::minDistance(int idx): 0.0000350710s
double Simulation::minDistance(int idx): 0.0000602010s
double Simulation::minDistance(int idx): 0.0000156600s
double Simulation::minDistance(int idx): 0.0000370000s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000580010s
double Simulation::minDistance(int idx): 0.0000137200s
double Simulation::minDistance(int idx): 0.0000363500s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000564810s
double Simulation::minDistance(int idx): 0.0000136310s
double Simulation::minDistance(int idx): 0.0000005700s
double Simulation::minDistance(int idx): 0.0000351310s
double Simulation::minDistance(int idx): 0.0000141900s
double Simulation::minDistance(int idx): 0.0000588910s
double Simulation::minDistance(int idx): 0.0000370510s
double Simulation::minDistance(int idx): 0.0000006600s
double Simulation::minDistance(int idx): 0.0000128700s
double Simulation::minDistance(int idx): 0.0000556210s
double Simulation::minDistance(int idx): 0.0000005800s
